Date,Price,Open,High,Low
1-Jan-09,3033.45,2963.30,3039.25,2963.30
2-Jan-09,3046.75,3034.60,3079.85,3021.80
5-Jan-09,3121.45,3058.75,3131.95,3056.45
6-Jan-09,3112.80,3121.50,3141.80,3056.10
7-Jan-09,2920.40,3112.80,3147.20,2888.20
9-Jan-09,2873.00,2919.95,2929.85,2810.25
12-Jan-09,2773.10,2868.85,2869.20,2748.55
13-Jan-09,2744.95,2775.00,2802.60,2720.80
14-Jan-09,2835.30,2748.40,2853.25,2748.40
15-Jan-09,2736.70,2832.30,2832.30,2701.75
16-Jan-09,2828.45,2737.00,2835.65,2724.20
19-Jan-09,2846.20,2828.70,2868.20,2819.90
20-Jan-09,2796.60,2842.90,2842.90,2758.00
21-Jan-09,2706.15,2777.40,2787.30,2690.20
22-Jan-09,2713.80,2714.70,2744.85,2681.40
23-Jan-09,2678.55,2705.45,2765.55,2661.65
27-Jan-09,2771.35,2686.05,2777.30,2685.25
28-Jan-09,2849.50,2771.10,2855.40,2765.60
29-Jan-09,2823.95,2849.35,2873.85,2795.35
30-Jan-09,2874.80,2824.05,2881.00,2774.10
2-Feb-09,2766.65,2872.35,2873.45,2760.70
3-Feb-09,2783.90,2773.50,2831.70,2752.90
4-Feb-09,2803.05,2780.70,2842.20,2780.70
5-Feb-09,2780.05,2802.75,2816.80,2754.85
6-Feb-09,2843.10,2779.35,2852.50,2778.65
9-Feb-09,2919.90,2843.05,2926.75,2840.15
10-Feb-09,2934.50,2919.70,2957.40,2891.75
11-Feb-09,2925.70,2933.00,2937.50,2877.60
12-Feb-09,2893.05,2927.40,2939.00,2886.55
13-Feb-09,2948.35,2896.95,2969.75,2896.85
16-Feb-09,2848.50,2948.25,2953.20,2839.10
17-Feb-09,2770.50,2853.85,2854.65,2757.30
18-Feb-09,2776.15,2755.15,2806.50,2736.65
19-Feb-09,2789.35,2776.70,2802.15,2767.60
20-Feb-09,2736.45,2789.30,2789.30,2709.30
24-Feb-09,2733.90,2737.25,2746.20,2677.55
25-Feb-09,2762.50,2733.45,2789.35,2733.45
26-Feb-09,2785.65,2762.20,2797.80,2731.90
27-Feb-09,2763.65,2785.70,2787.20,2708.45
2-Mar-09,2674.60,2764.60,2764.60,2659.55
